Temperature(kT) 	 Energy 	 Magnetization 	 Specific Heat 	 Susceptibility 
2.570000	-0.014441	92871000000.000000	0.904446	0.011533
2.580000	-0.016592	107098200000.000000	0.991776	0.142804
2.590000	-0.002960	37576800000.000000	0.143755	0.038766
2.600000	-0.077628	228011400000.000000	4.667325	0.011894
2.610000	-0.012890	82821600000.000000	0.701638	0.021473
2.620000	-0.020078	-120740400000.000015	1.309964	0.025981
2.630000	-0.006522	64852200000.000008	0.446982	0.082822
2.640000	-0.020263	123264000000.000015	1.472401	0.076686
2.650000	-0.001971	40950000000.000000	0.155371	0.028179
2.660000	-0.000554	-15868800000.000002	0.038916	0.135816
2.670000	-0.008081	-78296400000.000000	0.565750	0.065908
2.680000	-0.005507	64076400000.000008	0.367842	0.052213
2.690000	-0.000424	13626000000.000000	0.032018	0.080392
2.700000	-0.018099	93897000000.000000	0.761914	0.161254
2.710000	-0.132541	-289134000000.000000	5.697957	0.269755
2.720000	-0.007932	67489200000.000008	0.421660	0.110667
2.730000	-0.012904	77731200000.000000	0.529080	0.050716
2.740000	-0.004900	58982400000.000008	0.346658	0.092841
2.750000	-0.000426	5628600000.000000	0.008516	0.037920
2.760000	-0.015151	100848600000.000000	0.720695	0.042168
2.770000	-0.057484	-199706400000.000000	3.173094	0.115346
2.780000	-0.002024	23961600000.000000	0.082432	0.220852
2.790000	-0.013131	99243000000.000000	0.755185	0.074467
2.800000	-0.010299	-74064600000.000000	0.409454	0.156364
2.810000	-0.007210	-88772400000.000000	0.610463	0.158404
2.820000	-0.042794	169817400000.000000	2.046853	0.153260
2.830000	-0.019311	110565000000.000000	0.896261	0.113634
2.840000	-0.013786	86328000000.000000	0.575730	0.050404
2.850000	-0.001657	2899800000.000000	0.069333	0.417578
2.860000	-0.003861	45871200000.000000	0.168290	0.059437
2.870000	-0.008040	67300200000.000008	0.329818	0.077212
2.880000	-0.000129	-17128800000.000002	0.026901	0.031623
2.890000	-0.000858	12587400000.000000	0.036133	0.162687
2.900000	0.000033	-225000000.000000	0.005108	0.034963
2.910000	-0.001083	32077800000.000004	0.093206	0.063409
2.920000	-0.000606	-10762200000.000000	0.012356	0.035185
2.930000	-0.008397	-58869000000.000008	0.298291	0.443210
2.940000	-0.038034	-153685800000.000000	1.570108	0.040378
2.950000	-0.000736	-646200000.000000	0.005827	0.040145
2.960000	-0.002778	46026000000.000000	0.166675	0.078704
2.970000	-0.006918	-59796000000.000008	0.240931	0.054231
2.980000	-0.016360	-100837800000.000000	0.661463	0.073480
2.990000	-0.003730	51814800000.000000	0.188909	0.028992
3.000000	-0.000970	-17650800000.000000	0.035759	0.124546
3.010000	-0.009814	66864600000.000008	0.319653	0.087414
3.020000	-0.017737	-112140000000.000000	0.928501	0.053124
3.030000	-0.003301	53337600000.000000	0.191997	0.085516
3.040000	-0.021520	117284400000.000015	0.786393	0.033925
3.050000	-0.000742	6051600000.000000	0.015285	0.116286
3.060000	-0.000648	-26254800000.000000	0.056349	0.019722
3.070000	-0.006299	69296400000.000000	0.323024	0.155440
3.080000	-0.000396	-8467200000.000001	0.011533	0.053926
3.090000	-0.001264	-31323600000.000004	0.067628	0.053340
3.100000	-0.016980	-97133400000.000000	0.552278	0.048547
3.110000	-0.000548	5239800000.000000	0.011075	0.065791
3.120000	-0.004127	49275000000.000000	0.138399	0.086647
3.130000	-0.006938	-61601400000.000008	0.236698	0.038519
3.140000	-0.011730	85084200000.000000	0.435349	0.070585
3.150000	-0.102339	-261014400000.000031	3.623402	0.427742
3.160000	-0.028119	123238800000.000015	0.781968	0.060150
3.170000	-0.020171	-117493200000.000015	0.761623	0.057827
3.180000	-0.002157	38309400000.000000	0.091343	0.057357
3.190000	-0.006480	-57823200000.000008	0.202831	0.078680
3.200000	-0.001750	-1076400000.000000	0.045912	0.352284
3.210000	-0.000620	8326800000.000001	0.030096	0.228104
3.220000	-0.001538	-26517600000.000000	0.052483	0.123959
3.230000	-0.002468	23527800000.000000	0.071264	0.332208
3.240000	-0.013893	96751800000.000000	0.504866	0.085793
3.250000	-0.016192	106975800000.000000	0.643843	0.116430
3.260000	-0.000797	8238600000.000001	0.031172	0.178217
3.270000	-0.004049	59641200000.000008	0.176810	0.136084
3.280000	-0.000076	-30623400000.000004	0.092692	0.291562
3.290000	-0.013952	-99050400000.000000	0.467934	0.046602
3.300000	-0.011549	91787400000.000000	0.387144	0.040588
3.310000	-0.008548	82186200000.000000	0.367360	0.114208
3.320000	-0.007727	-75627000000.000000	0.256223	0.036309
3.330000	-0.012467	105867000000.000000	0.507485	0.040113
3.340000	-0.000122	31966200000.000004	0.055734	0.043075
3.350000	-0.017683	-120493800000.000015	0.640335	0.089676
3.360000	0.000140	-16731000000.000002	0.021852	0.085474
3.370000	-0.019114	-107335800000.000000	0.583192	0.284836
3.380000	-0.016258	-108793800000.000000	0.529183	0.023696
3.390000	-0.003747	59524200000.000008	0.162424	0.040588
3.400000	-0.001989	-33339600000.000004	0.057328	0.036619
